,alpha,A,BA,P,R,SP,F1,ROC,MCC,RA,RSE,RSP
129,6.0,0.7105263157894737,0.6876923076923077,0.5714285714285714,0.6153846153846154,0.76,0.6840513983371126,0.6876923076923077,0.3691887949279695,0.9473684210526315,0.9285714285714286,1.0
130,0.0,0.7922077922077922,0.7377777777777779,0.7894736842105263,0.5555555555555556,0.92,0.7520128824476651,0.7377777777777779,0.5263532956993116,1.0,1.0,1.0
131,0.5,0.8181818181818182,0.7833333333333333,0.782608695652174,0.6666666666666666,0.9,0.7926923076923077,0.7833333333333333,0.5907908398283784,1.0,1.0,1.0
132,1.0,0.7922077922077922,0.7462962962962962,0.7619047619047619,0.5925925925925926,0.9,0.7578616352201257,0.7462962962962963,0.5277777777777778,1.0,1.0,1.0
133,1.5,0.8181818181818182,0.7918518518518518,0.76,0.7037037037037037,0.88,0.7967571644042233,0.7918518518518519,0.5948228686039609,1.0,1.0,1.0
134,2.0,0.7662337662337663,0.7262962962962962,0.6956521739130435,0.5925925925925926,0.86,0.7334615384615384,0.7262962962962962,0.47186039625508397,1.0,1.0,1.0
135,2.5,0.7402597402597403,0.7062962962962962,0.64,0.5925925925925926,0.82,0.7096530920060332,0.7062962962962963,0.4204522053456932,1.0,1.0,1.0
136,3.0,0.7662337662337663,0.7433333333333333,0.6666666666666666,0.6666666666666666,0.82,0.7433333333333333,0.7433333333333334,0.4866666666666667,1.0,1.0,1.0
137,3.5,0.8051948051948052,0.7818518518518518,0.7307692307692307,0.7037037037037037,0.86,0.7842331402951616,0.7818518518518518,0.5687822180346598,1.0,1.0,1.0
138,4.0,0.8051948051948052,0.7733333333333333,0.75,0.6666666666666666,0.88,0.7801256424900057,0.7733333333333333,0.563178312189625,1.0,1.0,1.0
139,4.5,0.8051948051948052,0.7733333333333333,0.75,0.6666666666666666,0.88,0.7801256424900057,0.7733333333333333,0.563178312189625,1.0,1.0,1.0
140,5.0,0.7792207792207793,0.7533333333333333,0.6923076923076923,0.6666666666666666,0.84,0.7554642256678498,0.7533333333333333,0.5112313234371975,1.0,1.0,1.0
141,5.5,0.7662337662337663,0.7433333333333333,0.6666666666666666,0.6666666666666666,0.82,0.7433333333333333,0.7433333333333334,0.4866666666666667,1.0,1.0,1.0
142,6.0,0.7922077922077922,0.7718518518518518,0.7037037037037037,0.7037037037037037,0.84,0.7718518518518518,0.7718518518518518,0.5437037037037037,1.0,1.0,1.0
143,0.0,0.8181818181818182,0.7833333333333333,0.782608695652174,0.6666666666666666,0.9,0.7926923076923077,0.7833333333333333,0.5907908398283784,0.8636363636363636,0.8235294117647058,1.0
144,0.5,0.7922077922077922,0.7633333333333333,0.72,0.6666666666666666,0.86,0.7677224736048265,0.7633333333333332,0.5366993141845384,0.9090909090909091,0.8823529411764706,1.0
145,1.0,0.7922077922077922,0.7803703703703704,0.6896551724137931,0.7407407407407407,0.82,0.7755102040816326,0.7803703703703704,0.5522164981933888,0.9545454545454546,0.9411764705882353,1.0
146,1.5,0.8051948051948052,0.7903703703703704,0.7142857142857143,0.7407407407407407,0.84,0.7878787878787878,0.7903703703703703,0.5760658398584765,0.9545454545454546,0.9411764705882353,1.0
147,2.0,0.8051948051948052,0.7988888888888889,0.7,0.7777777777777778,0.82,0.791101465002713,0.7988888888888889,0.5849208388379199,0.9545454545454546,0.9411764705882353,1.0
148,2.5,0.8051948051948052,0.7988888888888889,0.7,0.7777777777777778,0.82,0.791101465002713,0.7988888888888889,0.5849208388379199,1.0,1.0,1.0
149,3.0,0.8181818181818182,0.8003703703703704,0.7407407407407407,0.7407407407407407,0.86,0.8003703703703704,0.8003703703703703,0.6007407407407407,0.9090909090909091,0.8823529411764706,1.0
150,3.5,0.7792207792207793,0.778888888888889,0.65625,0.7777777777777778,0.78,0.7664585191793042,0.778888888888889,0.5400660110544787,0.9545454545454546,0.9411764705882353,1.0
151,4.0,0.7922077922077922,0.788888888888889,0.6774193548387096,0.7777777777777778,0.8,0.7787356321839081,0.788888888888889,0.5621703750837337,0.9545454545454546,0.9411764705882353,1.0
152,4.5,0.7922077922077922,0.7974074074074073,0.6666666666666666,0.8148148148148148,0.78,0.7815602836879432,0.7974074074074075,0.5735421669624219,1.0,1.0,1.0
153,5.0,0.7922077922077922,0.7974074074074073,0.6666666666666666,0.8148148148148148,0.78,0.7815602836879432,0.7974074074074075,0.5735421669624219,1.0,1.0,1.0
154,5.5,0.7532467532467533,0.7674074074074073,0.6111111111111112,0.8148148148148148,0.72,0.7448107448107448,0.7674074074074074,0.5114782075908113,1.0,1.0,1.0
155,6.0,0.7792207792207793,0.7874074074074073,0.6470588235294118,0.8148148148148148,0.76,0.7692578882425525,0.7874074074074074,0.5523586388082835,1.0,1.0,1.0
156,0.0,0.7402597402597403,0.7062962962962962,0.64,0.5925925925925926,0.82,0.7096530920060332,0.7062962962962963,0.4204522053456932,0.9411764705882353,0.9285714285714286,1.0
